function;status;langcode
"ablaze_1_A";"checked";"eng"
"ablaze_2_A";"checked";"eng"
"ablaze_3_A";"checked";"eng"
"ablaze_4_A";"checked";"eng"
"able_1_A";"checked";"eng"
"able_2_A";"checked";"eng"
"able_3_A";"checked";"eng"
"able_4_A";"checked";"eng"
"able_bodied_A";"checked";"eng"
"ableism_1_N";"checked";"eng"
"ablepharia_N";"checked";"eng"
"abloom_A";"checked";"eng"
"ablution_N";"checked";"eng"
"ablutionary_A";"checked";"eng"
"abnegation_1_N";"checked";"eng"
"abnegation_2_N";"checked";"eng"
"abnegator_N";"checked";"eng"
"abnormal_1_A";"checked";"eng"
"abnormal_2_A";"checked";"eng"
"abnormal_3_A";"checked";"eng"
"abnormality_1_N";"checked";"eng"
"abnormality_2_N";"checked";"eng"
"abnormality_3_N";"checked";"eng"
"abnormality_4_N";"checked";"eng"
"abo_N";"checked";"eng"
"aboard_1_Adv";"checked";"eng"
"aboard_2_Adv";"checked";"eng"
"aboard_3_Adv";"checked";"eng"
"aboard_4_Adv";"checked";"eng"
"aboard_Prep";"checked";"eng"
"abocclusion_N";"checked";"eng"
"abode_1_N";"checked";"eng"
"abode_2_N";"checked";"eng"
"abohm_N";"checked";"eng"
"abolish_V2";"checked";"eng"
"abolishable_A";"checked";"eng"
"abolition_N";"checked";"eng"
"abolitionary_A";"checked";"eng"
"abolitionism_N";"checked";"eng"
"abolitionist_N";"checked";"eng"
"abomasal_A";"checked";"eng"
"abomasum_N";"checked";"eng"
"abominable_1_A";"checked";"eng"
"abominable_2_A";"checked";"eng"
"abominate_V2";"checked";"eng"
"abomination_1_N";"checked";"eng"
"abomination_2_N";"checked";"eng"
"abomination_3_N";"checked";"eng"
"abominator_N";"checked";"eng"
"aborad_Adv";"checked";"eng"
"aboral_A";"checked";"eng"
"aboriginal_1_A";"checked";"eng"
"aboriginal_2_A";"checked";"eng"
"aborigine_1_N";"checked";"eng"
"aborigine_2_N";"checked";"eng"
"abort_N";"checked";"eng"
"abort_2_V";"checked";"eng"
"abort_3_V";"checked";"eng"
"abort_1_V2";"checked";"eng"
"abort_3_V2";"checked";"eng"
"aborticide_1_N";"checked";"eng"
"aborticide_2_N";"checked";"eng"
"abortifacient_A";"checked";"eng"
"abortifacient_N";"checked";"eng"
"abortion_1_N";"checked";"eng"
"abortion_2_N";"checked";"eng"
"abortionistFem_N";"checked";"eng"
"abortionistMasc_N";"checked";"eng"
"abortive_A";"checked";"eng"
"abortus_N";"checked";"eng"
"abound_1_V";"checked";"eng"
"abound_2_V";"checked";"eng"
"about_AdN";"checked";"eng"
"about_1_Adv";"checked";"eng"
"about_2_Adv";"checked";"eng"
"about_3_Adv";"checked";"eng"
"about_4_Adv";"checked";"eng"
"about_5_Adv";"checked";"eng"
"about_6_Adv";"checked";"eng"
"about_7_Adv";"checked";"eng"
"about_1_Prep";"checked";"eng"
"about_2_Prep";"checked";"eng"
"about_face_1_N";"checked";"eng"
"about_face_2_N";"checked";"eng"
"about_face_1_V";"checked";"eng"
"about_face_2_V";"checked";"eng"
"above_A";"checked";"eng"
"above_1_Adv";"checked";"eng"
"above_2_Adv";"checked";"eng"
"above_N";"checked";"eng"
"above_Prep";"checked";"eng"
"above_board_A";"checked";"eng"
"above_board_Adv";"checked";"eng"
"above_mentioned_A";"checked";"eng"
"above_named_A";"checked";"eng"
"aboveboard_A";"checked";"eng"
"aboveground_A";"checked";"eng"
"abracadabra_N";"checked";"eng"
"abrachia_N";"checked";"eng"
"abrade_1_V2";"checked";"eng"
"abrade_2_V2";"checked";"eng"
"abrader_N";"checked";"eng"
"abraham_PN";"checked";"eng"
"abranchiate_1_A";"checked";"eng"
"abrasion_1_N";"checked";"eng"
"abrasion_2_N";"checked";"eng"
"abrasion_3_N";"checked";"eng"
"abrasive_1_A";"checked";"eng"
"abrasive_2_A";"checked";"eng"
"abrasive_N";"checked";"eng"
"abrasiveness_1_N";"checked";"eng"
"abrasiveness_2_N";"checked";"eng"
"abreast_Adv";"checked";"eng"
"abridge_1_V2";"checked";"eng"
"abridge_2_V2";"checked";"eng"
"abridgement_1_N";"checked";"eng"
"abridger_N";"checked";"eng"
"abroad_1_Adv";"checked";"eng"
"abroad_2_Adv";"checked";"eng"
"abroad_3_Adv";"checked";"eng"
"abrocome_N";"checked";"eng"
"abrogate_V2";"checked";"eng"
"abrogation_N";"checked";"eng"
"abrogator_N";"checked";"eng"
"abrupt_1_A";"checked";"eng"
"abrupt_2_A";"checked";"eng"
"abrupt_3_A";"checked";"eng"
"abrupt_4_A";"checked";"eng"
"abruptness_1_N";"checked";"eng"
"abruptness_2_N";"checked";"eng"
"abruptness_3_N";"checked";"eng"
"abscess_N";"checked";"eng"
"abscessed_A";"checked";"eng"
"abscissa_N";"checked";"eng"
"abscission_1_N";"checked";"eng"
"abscission_2_N";"checked";"eng"
"abscond_V";"checked";"eng"
"absconder_N";"checked";"eng"
"abscondment_N";"checked";"eng"
"abseiler_N";"checked";"eng"
"absence_1_N";"checked";"eng"
"absence_2_N";"checked";"eng"
"absence_3_N";"checked";"eng"
"absence_4_N";"checked";"eng"
"absent_1_A";"checked";"eng"
"absent_2_A";"checked";"eng"
"absent_3_A";"checked";"eng"
"absent_Prep";"checked";"eng"
"absent_yourself_V";"checked";"eng"
"absent_minded_A";"checked";"eng"
"absentee_N";"checked";"eng"
"absenteeism_N";"checked";"eng"
"absentmindedness_N";"checked";"eng"
"absinthe_1_N";"checked";"eng"
"absinthe_2_N";"checked";"eng"
"absolute_1_A";"checked";"eng"
"absolute_2_A";"checked";"eng"
"absolute_3_A";"checked";"eng"
"absolute_4_A";"checked";"eng"
"absolute_5_A";"checked";"eng"
"absolute_N";"checked";"eng"
"absoluteness_1_N";"checked";"eng"
"absoluteness_2_N";"checked";"eng"
"absolution_1_N";"checked";"eng"
"absolution_2_N";"checked";"eng"
"absolutism_1_N";"checked";"eng"
"absolutism_2_N";"checked";"eng"
"absolutism_3_N";"checked";"eng"
"absolutism_4_N";"checked";"eng"
"absolutist_A";"checked";"eng"
"absolutist_N";"checked";"eng"
"absolve_1_V2";"checked";"eng"
"absolve_2_V2";"checked";"eng"
"absolver_N";"checked";"eng"
"absolvitory_A";"checked";"eng"
"absorb_V";"checked";"eng"
"absorb_2_V2";"checked";"eng"
"absorb_3_V2";"checked";"eng"
"absorb_4_V2";"checked";"eng"
"absorb_5_V2";"checked";"eng"
"absorb_6_V2";"checked";"eng"
"absorb_7_V2";"checked";"eng"
"absorb_8_V2";"checked";"eng"
"absorb_9_V2";"checked";"eng"
"absorbable_A";"checked";"eng"
"absorbate_N";"checked";"eng"
"absorbefacient_1_A";"checked";"eng"
"absorbency_N";"checked";"eng"
"absorbent_A";"checked";"eng"
"absorbent_N";"checked";"eng"
"absorber_N";"checked";"eng"
"absorbing_A";"checked";"eng"
"absorption_1_N";"checked";"eng"
"absorption_2_N";"checked";"eng"
"absorption_3_N";"checked";"eng"
"absorption_4_N";"checked";"eng"
"absorption_5_N";"checked";"eng"
"absorption_6_N";"checked";"eng"
"absorptivity_N";"checked";"eng"
"abstain_1_V";"checked";"eng"
"abstain_2_V";"checked";"eng"
"abstainer_1_N";"checked";"eng"
"abstainer_2_N";"checked";"eng"
"abstemious_1_A";"checked";"eng"
"abstemious_2_A";"checked";"eng"
"abstemiousness_1_N";"checked";"eng"
"abstemiousness_2_N";"checked";"eng"
"abstention_N";"checked";"eng"
"abstinence_1_N";"checked";"eng"
