function;status;langcode
"barefooted_Adv";"checked";"eng"
"barehanded_A";"checked";"eng"
"bareheaded_A";"checked";"eng"
"barelegged_A";"checked";"eng"
"barely_1_Adv";"checked";"eng"
"barely_2_AdV";"checked";"eng"
"barely_3_AdN";"checked";"eng"
"bareness_1_N";"checked";"eng"
"bareness_2_N";"checked";"eng"
"bareness_3_N";"checked";"eng"
"bargain_1_N";"checked";"eng"
"bargain_2_N";"checked";"eng"
"bargain_1_V";"checked";"eng"
"bargain_2_V";"checked";"eng"
"bargain_2_V2";"checked";"eng"
"bargain_down_V2";"checked";"eng"
"bargain_for_V2";"checked";"eng"
"bargain_on_V2";"checked";"eng"
"bargainer_1_N";"checked";"eng"
"bargainer_2_N";"checked";"eng"
"bargaining_N";"checked";"eng"
"barge_N";"checked";"eng"
"barge_2_V";"checked";"eng"
"barge_in_1_V";"checked";"eng"
"barge_into_V2";"checked";"eng"
"bargee_N";"checked";"eng"
"bargello_N";"checked";"eng"
"bargepole_N";"checked";"eng"
"bargoed_PN";"checked";"eng"
"bari_PN";"checked";"eng"
"baric_A";"checked";"eng"
"barilla_1_N";"checked";"eng"
"barilla_2_N";"checked";"eng"
"baritone_A";"checked";"eng"
"baritone_1_N";"checked";"eng"
"baritone_2_N";"checked";"eng"
"baritone_3_N";"checked";"eng"
"barium_N";"checked";"eng"
"bark_1_N";"checked";"eng"
"bark_2_N";"checked";"eng"
"bark_3_N";"checked";"eng"
"bark_4_N";"checked";"eng"
"bark_1_V";"checked";"eng"
"bark_2_V";"checked";"eng"
"bark_3_V";"checked";"eng"
"bark_4_V";"checked";"eng"
"bark_5_V";"checked";"eng"
"bark_2_V2";"checked";"eng"
"bark_3_V2";"checked";"eng"
"bark_5_V2";"checked";"eng"
"barker_1_N";"checked";"eng"
"barker_2_N";"checked";"eng"
"barking_PN";"checked";"eng"
"barky_A";"checked";"eng"
"barley_1_N";"checked";"eng"
"barley_2_N";"checked";"eng"
"barley_sugar_N";"checked";"eng"
"barley_water_N";"checked";"eng"
"barleycorn_1_N";"checked";"eng"
"barleycorn_2_N";"checked";"eng"
"barm_N";"checked";"eng"
"barmaid_N";"checked";"eng"
"barman_N";"checked";"eng"
"barmbrack_N";"checked";"eng"
"barmy_1_A";"checked";"eng"
"barmy_2_A";"checked";"eng"
"barn_1_N";"checked";"eng"
"barn_2_N";"checked";"eng"
"barn_door_1_N";"checked";"eng"
"barn_door_2_N";"checked";"eng"
"barnacle_1_N";"checked";"eng"
"barnacle_2_N";"checked";"eng"
"barnard_castle_PN";"checked";"eng"
"barnburner_1_N";"checked";"eng"
"barnburner_2_N";"checked";"eng"
"barnet_PN";"checked";"eng"
"barnful_N";"checked";"eng"
"barnoldswick_PN";"checked";"eng"
"barnsley_PN";"checked";"eng"
"barnstaple_PN";"checked";"eng"
"barnstorm_1_V";"checked";"eng"
"barnstorm_2_V";"checked";"eng"
"barnstormer_1_N";"checked";"eng"
"barnstormer_2_N";"checked";"eng"
"barnyard_N";"checked";"eng"
"barograph_N";"checked";"eng"
"barographic_A";"checked";"eng"
"barometer_N";"checked";"eng"
"barometric_1_A";"checked";"eng"
"baron_1_N";"checked";"eng"
"baron_2_N";"checked";"eng"
"baron_3_N";"checked";"eng"
"baronage_N";"checked";"eng"
"baronduki_1_N";"checked";"eng"
"baroness_N";"checked";"eng"
"baronet_N";"checked";"eng"
"baronetage_1_N";"checked";"eng"
"baronetage_2_N";"checked";"eng"
"baronetcy_1_N";"checked";"eng"
"baronetcy_2_N";"checked";"eng"
"barong_N";"checked";"eng"
"baronial_A";"checked";"eng"
"barony_1_N";"checked";"eng"
"barony_2_N";"checked";"eng"
"barony_3_N";"checked";"eng"
"baroque_1_A";"checked";"eng"
"baroque_2_A";"checked";"eng"
"baroque_1_N";"checked";"eng"
"baroque_2_N";"checked";"eng"
"baroreceptor_N";"checked";"eng"
"barosaur_1_N";"checked";"eng"
"barouche_N";"checked";"eng"
"barque_N";"checked";"eng"
"barra_N";"checked";"eng"
"barrack_N";"checked";"eng"
"barrack_1_V";"checked";"eng"
"barrack_3_V";"checked";"eng"
"barrack_1_V2";"checked";"eng"
"barrack_2_V2";"checked";"eng"
"barracking_N";"checked";"eng"
"barracks_N";"checked";"eng"
"barracouta_N";"checked";"eng"
"barracuda_N";"checked";"eng"
"barrage_of_N2";"checked";"eng"
"barrage_N";"checked";"eng"
"barramundi_N";"checked";"eng"
"barranquilla_PN";"checked";"eng"
"barrator_1_N";"checked";"eng"
"barratry_1_N";"checked";"eng"
"barratry_2_N";"checked";"eng"
"barratry_3_N";"checked";"eng"
"barratry_4_N";"checked";"eng"
"barrel_1_N";"checked";"eng"
"barrel_2_N";"checked";"eng"
"barrel_3_N";"checked";"eng"
"barrel_4_N";"checked";"eng"
"barrel_5_N";"checked";"eng"
"barrel_V2";"checked";"eng"
"barreled_1_A";"checked";"eng"
"barreled_2_A";"checked";"eng"
"barrelfish_N";"checked";"eng"
"barrelhouse_N";"checked";"eng"
"barrels_N";"checked";"eng"
"barren_1_A";"checked";"eng"
"barren_2_A";"checked";"eng"
"barren_3_A";"checked";"eng"
"barren_N";"checked";"eng"
"barrenness_1_N";"checked";"eng"
"barrenness_2_N";"checked";"eng"
"barrenwort_N";"checked";"eng"
"barrette_N";"checked";"eng"
"barrhead_PN";"checked";"eng"
"barricade_1_N";"checked";"eng"
"barricade_2_N";"checked";"eng"
"barricade_1_V2";"checked";"eng"
"barricade_2_V2";"checked";"eng"
"barricade_3_V2";"checked";"eng"
"barrier_1_N";"checked";"eng"
"barrier_2_N";"checked";"eng"
"barrier_3_N";"checked";"eng"
"barring_N";"checked";"eng"
"barrio_1_N";"checked";"eng"
"barrio_2_N";"checked";"eng"
"barrister_N";"checked";"eng"
"barroom_N";"checked";"eng"
"barrow_1_N";"checked";"eng"
"barrow_2_N";"checked";"eng"
"barrow_3_N";"checked";"eng"
"barrow_boy_N";"checked";"eng"
"barrow_in_furness_PN";"checked";"eng"
"barrow_man_N";"checked";"eng"
"barry_PN";"checked";"eng"
"bart_PN";"checked";"eng"
"bartender_N";"checked";"eng"
"barter_N";"checked";"eng"
"barter_V";"checked";"eng"
"barter_V2";"checked";"eng"
"barterer_N";"checked";"eng"
"bartholomew_PN";"checked";"eng"
"bartlett_1_PN";"checked";"eng"
"bartlett_2_PN";"checked";"eng"
"bartlett_3_N";"checked";"eng"
"barton_upon_humber_PN";"checked";"eng"
"bartonia_N";"checked";"eng"
"barycenter_N";"checked";"eng"
"barye_N";"checked";"eng"
"baryon_N";"checked";"eng"
"baryta_N";"checked";"eng"
"barytic_A";"checked";"eng"
"bas_relief_N";"checked";"eng"
"basal_1_A";"checked";"eng"
"basal_2_A";"checked";"eng"
"basal_3_A";"checked";"eng"
"basalt_N";"checked";"eng"
"basaltic_A";"checked";"eng"
"bascule_N";"checked";"eng"
"base_1_A";"checked";"eng"
"base_2_A";"checked";"eng"
"base_3_A";"checked";"eng"
"base_4_A";"checked";"eng"
"base_5_A";"checked";"eng"
"base_6_A";"checked";"eng"
"base_7_A";"checked";"eng"
"base_1_N";"checked";"eng"
"base_2_N";"checked";"eng"
"base_3_N";"checked";"eng"
"base_4_N";"checked";"eng"
"base_5_N";"checked";"eng"
"base_6_N";"checked";"eng"
"base_7_N";"checked";"eng"
"base_8_N";"checked";"eng"
"base_9_N";"checked";"eng"
"base_10_N";"checked";"eng"
"base_11_N";"checked";"eng"
"base_12_N";"checked";"eng"
"base_13_N";"checked";"eng"
"base_14_N";"checked";"eng"
"base_15_N";"checked";"eng"
"base_16_N";"checked";"eng"
"base_17_N";"checked";"eng"
"base_18_N";"checked";"eng"
"base_19_N";"checked";"eng"
"base_20_N";"checked";"eng"
"base_3_V";"checked";"eng"
"base_1_V2";"checked";"eng"
"base_2_V2";"checked";"eng"
"base_3_V2";"checked";"eng"
"baseball_1_N";"checked";"eng"
"baseball_2_N";"checked";"eng"
"baseboard_N";"checked";"eng"
"basel_PN";"checked";"eng"
"baseless_A";"checked";"eng"
"baseline_1_N";"checked";"eng"
"baseline_2_N";"checked";"eng"
"baseline_3_N";"checked";"eng"
"baseman_N";"checked";"eng"
"basement_1_N";"checked";"eng"
"basement_2_N";"checked";"eng"
"baseness_N";"checked";"eng"
"basenji_N";"checked";"eng"
"bash_1_N";"checked";"eng"
"bash_2_N";"checked";"eng"
"bash_V";"checked";"eng"
"bash_V2";"checked";"eng"
"bash_about_V2";"checked";"eng"
"bash_in_V2";"checked";"eng"
"bash_out_V2";"checked";"eng"
"bash_up_V2";"checked";"eng"
"bashful_1_A";"checked";"eng"
"bashful_2_A";"checked";"eng"
"basic_1_A";"checked";"eng"
"basic_2_A";"checked";"eng"
"basic_3_A";"checked";"eng"
"basic_4_A";"checked";"eng"
"basic_PN";"checked";"eng"
"basic_N";"checked";"eng"
"basically_AdV";"checked";"eng"
"basics_1_N";"checked";"eng"
"basics_2_N";"checked";"eng"
"basidial_A";"checked";"eng"
"basidiocarp_N";"checked";"eng"
"basidiolichen_N";"checked";"eng"
"basidiomycete_N";"checked";"eng"
"basidiomycetous_A";"checked";"eng"
"basidiospore_N";"checked";"eng"
"basidiosporous_A";"checked";"eng"
"basidium_N";"checked";"eng"
"basifixed_A";"checked";"eng"
"basil_1_N";"checked";"eng"
"basil_3_N";"checked";"eng"
"basil_PN";"checked";"eng"
"basilar_1_A";"checked";"eng"
"basildon_PN";"checked";"eng"
"basileus_N";"checked";"eng"
"basilica_1_N";"checked";"eng"
"basilica_2_N";"checked";"eng"
"basilican_A";"checked";"eng"
"basilisk_1_N";"checked";"eng"
"basilisk_2_N";"checked";"eng"
"basilisk_3_N";"checked";"eng"
"basin_1_N";"checked";"eng"
"basin_2_N";"checked";"eng"
"basin_3_N";"checked";"eng"
"basin_4_N";"checked";"eng"
"basin_5_N";"checked";"eng"
"basinal_A";"checked";"eng"
"basined_A";"checked";"eng"
"basinet_N";"checked";"eng"
"basingstoke_PN";"checked";"eng"
"basipetal_A";"checked";"eng"
"basis_1_N";"checked";"eng"
"basis_2_N";"checked";"eng"
"basis_3_N";"checked";"eng"
"basiscopic_A";"checked";"eng"
"bask_1_V";"checked";"eng"
"bask_2_V";"checked";"eng"
"basket_1_N";"checked";"eng"
"basket_2_N";"checked";"eng"
"basket_3_N";"checked";"eng"
"basket_4_N";"checked";"eng"
"basketball_1_N";"checked";"eng"
"basketball_2_N";"checked";"eng"
"basketry_N";"checked";"eng"
"basketweaver_N";"checked";"eng"
"basophil_1_N";"checked";"eng"
"basophilia_N";"checked";"eng"
"basophilic_A";"checked";"eng"
"basque_A";"checked";"eng"
"bass_A";"checked";"eng"
"bass_1_N";"checked";"eng"
"bass_2_N";"checked";"eng"
"bass_3_N";"checked";"eng"
"bass_4_N";"checked";"eng"
"bass_5_N";"checked";"eng"
"bass_6_N";"checked";"eng"
"bass_7_N";"checked";"eng"
"bass_8_N";"checked";"eng"
"bassarisk_N";"checked";"eng"
"basset_N";"checked";"eng"
"bassine_N";"checked";"eng"
"bassinet_1_N";"checked";"eng"
"bassinet_2_N";"checked";"eng"
"bassist_N";"checked";"eng"
"bassoon_N";"checked";"eng"
"bassoonist_N";"checked";"eng"
"basswood_1_N";"checked";"eng"
"basswood_2_N";"checked";"eng"
"bast_1_N";"checked";"eng"
"bast_2_N";"checked";"eng"
"bast_3_PN";"checked";"eng"
"bastard_1_N";"checked";"eng"
"bastard_2_N";"checked";"eng"
"bastard_3_N";"checked";"eng"
"bastardization_1_N";"checked";"eng"
"bastardization_2_N";"checked";"eng"
"bastardize_1_V2";"checked";"eng"
"bastardize_2_V2";"checked";"eng"
"bastardly_1_A";"checked";"eng"
"bastardly_2_A";"checked";"eng"
"bastardy_N";"checked";"eng"
"baste_N";"checked";"eng"
"baste_1_V2";"checked";"eng"
"baste_2_V2";"checked";"eng"
"baste_3_V2";"checked";"eng"
"baster_1_N";"checked";"eng"
"baster_2_N";"checked";"eng"
"baster_3_N";"checked";"eng"
"bastille_1_N";"checked";"eng"
"bastille_2_N";"checked";"eng"
"bastinado_1_N";"checked";"eng"
"bastinado_2_N";"checked";"eng"
"bastinado_V2";"checked";"eng"
"basting_1_N";"checked";"eng"
"basting_2_N";"checked";"eng"
"bastion_1_N";"checked";"eng"
"bastion_2_N";"checked";"eng"
"bastion_3_N";"checked";"eng"
"bastioned_A";"checked";"eng"
"bastnasite_1_N";"checked";"eng"
"basuco_N";"checked";"eng"
"bat_1_N";"checked";"eng"
"bat_2_N";"checked";"eng"
"bat_3_N";"checked";"eng"
"bat_4_N";"checked";"eng"
"bat_5_N";"checked";"eng"
"bat_3_V";"checked";"eng"
"bat_4_V";"checked";"eng"
"bat_1_V2";"checked";"eng"
"bat_2_V2";"checked";"eng"
"bat_5_V2";"checked";"eng"
"bat_in_V";"checked";"eng"
"batch_1_N";"checked";"eng"
"batch_of_N2";"checked";"eng"
"batch_3_N";"checked";"eng"
"bate_1_V2";"checked";"eng"
"bate_2_V2";"checked";"eng"
"bate_3_V2";"checked";"eng"
"batfish_N";"checked";"eng"
"bath_1_N";"checked";"eng"
"bath_2_N";"checked";"eng"
"bath_3_N";"checked";"eng"
"bath_PN";"checked";"eng"
"bath_chair_N";"checked";"eng"
"bathe_N";"checked";"eng"
"bathe_1_V";"checked";"eng"
"bathe_3_V";"checked";"eng"
"bathe_2_V2";"checked";"eng"
"bathe_3_V2";"checked";"eng"
"bather_1_N";"checked";"eng"
"bather_2_N";"checked";"eng"
"bathetic_A";"checked";"eng"
"bathgate_PN";"checked";"eng"
"bathhouse_1_N";"checked";"eng"
"bathhouse_2_N";"checked";"eng"
"bathing_1_N";"checked";"eng"
"bathing_2_N";"checked";"eng"
"bathing_cap_N";"checked";"eng"
"bathing_costume_N";"checked";"eng"
"bathing_machine_N";"checked";"eng"
"bathing_suit_N";"checked";"eng"
"batholith_1_N";"checked";"eng"
"batholithic_1_A";"checked";"eng"
"bathos_1_N";"checked";"eng"
"bathos_2_N";"checked";"eng"
"bathos_3_N";"checked";"eng"
"bathrobe_N";"checked";"eng"
"bathroom_1_N";"checked";"eng"
"bathroom_2_N";"checked";"eng"
"bathtub_N";"checked";"eng"
"bathyal_A";"checked";"eng"
"bathymeter_1_N";"checked";"eng"
"bathymetric_1_A";"checked";"eng"
"bathymetry_N";"checked";"eng"
"bathyscaphe_1_N";"checked";"eng"
"bathysphere_N";"checked";"eng"
"batik_N";"checked";"eng"
"batiste_N";"checked";"eng"
"batley_PN";"checked";"eng"
"batman_N";"checked";"eng"
"baton_1_N";"checked";"eng"
"baton_2_N";"checked";"eng"
"baton_3_N";"checked";"eng"
"baton_4_N";"checked";"eng"
"baton_5_N";"checked";"eng"
"batrachomyomachia_N";"checked";"eng"
"bats_A";"checked";"eng"
"batsman_N";"checked";"eng"
"battalion_1_N";"checked";"eng"
"battalion_2_N";"checked";"eng"
"batten_1_N";"checked";"eng"
"batten_2_N";"checked";"eng"
"batten_1_V2";"checked";"eng"
"batten_down_V2";"checked";"eng"
"batter_1_N";"checked";"eng"
"batter_2_N";"checked";"eng"
"batter_3_V";"checked";"eng"
"batter_1_V2";"checked";"eng"
"batter_2_V2";"checked";"eng"
"batter_3_V2";"checked";"eng"
"battering_N";"checked";"eng"
"battery_1_N";"checked";"eng"
"battery_2_N";"checked";"eng"
"battery_3_N";"checked";"eng"
"battery_4_N";"checked";"eng"
"battery_5_N";"checked";"eng"
"battery_6_N";"checked";"eng"
"battery_7_N";"checked";"eng"
"batting_1_N";"checked";"eng"
"batting_2_N";"checked";"eng"
"battle_1_N";"checked";"eng"
"battle_2_N";"checked";"eng"
"battle_3_N";"checked";"eng"
"battle_V";"checked";"eng"
"battle_axe_1_N";"checked";"eng"
"battle_axe_2_N";"checked";"eng"
"battle_cruiser_N";"checked";"eng"
"battledore_1_N";"checked";"eng"
"battledore_2_N";"checked";"eng"
"battledress_N";"checked";"eng"
"battlefield_N";"checked";"eng"
"battlefront_N";"checked";"eng"
"battleful_A";"checked";"eng"
"battleground_N";"checked";"eng"
"battlement_N";"checked";"eng"
"battlemented_1_A";"checked";"eng"
"battlemented_2_A";"checked";"eng"
"battleship_N";"checked";"eng"
"battue_1_N";"checked";"eng"
"battue_2_N";"checked";"eng"
"batty_A";"checked";"eng"
"batwing_A";"checked";"eng"
"batwing_N";"checked";"eng"
"bauble_1_N";"checked";"eng"
"bauble_2_N";"checked";"eng"
"baud_N";"checked";"eng"
"baulk_1_N";"checked";"eng"
"baulk_2_N";"checked";"eng"
"baulk_3_N";"checked";"eng"
"baulk_V";"checked";"eng"
"baulk_V2";"checked";"eng"
"bauxite_N";"checked";"eng"
"bauxitic_A";"checked";"eng"
"bawbee_N";"checked";"eng"
"bawd_N";"checked";"eng"
"bawdry_N";"checked";"eng"
"bawdy_A";"checked";"eng"
"bawl_1_V";"checked";"eng"
"bawl_2_V";"checked";"eng"
"bawl_3_V";"checked";"eng"
"bawl_1_V2";"checked";"eng"
"bawl_2_V2";"checked";"eng"
"bawl_out_V2";"checked";"eng"
"bawler_1_N";"checked";"eng"
"bawler_2_N";"checked";"eng"
"bay_A";"checked";"eng"
"bay_1_N";"checked";"eng"
"bay_2_N";"checked";"eng"
"bay_3_N";"checked";"eng"
"bay_4_N";"checked";"eng"
"bay_5_N";"checked";"eng"
"bay_6_N";"checked";"eng"
"bay_7_N";"checked";"eng"
"bay_1_V";"checked";"eng"
"bay_2_V";"checked";"eng"
"bay_wreath_N";"checked";"eng"
"baya_N";"checked";"eng"
"bayat_N";"checked";"eng"
"bayberry_1_N";"checked";"eng"
"bayberry_2_N";"checked";"eng"
"bayonet_N";"checked";"eng"
"bayonet_V2";"checked";"eng"
"bayou_N";"checked";"eng"
"bazaar_1_N";"checked";"eng"
"bazaar_2_N";"checked";"eng"
"bazaar_3_N";"checked";"eng"
"bazooka_N";"checked";"eng"
"bbc_PN";"checked";"eng"
"bdellium_N";"checked";"eng"
"beach_N";"checked";"eng"
"beach_V";"checked";"eng"
"beachcomber_N";"checked";"eng"
"beachfront_N";"checked";"eng"
"beachhead_1_N";"checked";"eng"
"beachhead_2_N";"checked";"eng"
"beachwear_N";"checked";"eng"
"beacon_1_N";"checked";"eng"
"beacon_2_N";"checked";"eng"
"beacon_3_N";"checked";"eng"
"beacon_fire_N";"checked";"eng"
"beacon_light_N";"checked";"eng"
"beaconsfield_PN";"checked";"eng"
"bead_1_N";"checked";"eng"
"bead_2_N";"checked";"eng"
"bead_3_N";"checked";"eng"
"beaded_A";"checked";"eng"
"beading_1_N";"checked";"eng"
"beading_2_N";"checked";"eng"
"beadle_1_N";"checked";"eng"
"beadle_2_PN";"checked";"eng"
"beads_N";"checked";"eng"
"beadsman_1_N";"checked";"eng"
"beady_1_A";"checked";"eng"
"beady_2_A";"checked";"eng"
"beagle_N";"checked";"eng"
"beagling_N";"checked";"eng"
"beak_1_N";"checked";"eng"
"beak_2_N";"checked";"eng"
"beak_3_N";"checked";"eng"
"beak_4_N";"checked";"eng"
"beaked_A";"checked";"eng"
"beaker_1_N";"checked";"eng"
"beaker_2_N";"checked";"eng"
"beakless_A";"checked";"eng"
"beaklike_A";"checked";"eng"
"beam_1_N";"checked";"eng"
"beam_2_N";"checked";"eng"
"beam_3_N";"checked";"eng"
"beam_4_N";"checked";"eng"
"beam_5_N";"checked";"eng"
"beam_6_N";"checked";"eng"
"beam_7_N";"checked";"eng"
"beam_1_V";"checked";"eng"
"beam_2_V";"checked";"eng"
"beam_5_V";"checked";"eng"
"beam_6_V";"checked";"eng"
"beam_1_V2";"checked";"eng"
"beam_3_V2";"checked";"eng"
"beam_4_V2";"checked";"eng"
"beamish_A";"checked";"eng"
"beamy_1_A";"checked";"eng"
"beamy_2_A";"checked";"eng"
"bean_1_N";"checked";"eng"
"bean_2_N";"checked";"eng"
"bean_3_N";"checked";"eng"
"bean_4_N";"checked";"eng"
"beanbag_N";"checked";"eng"
"beanball_N";"checked";"eng"
"beanfeast_N";"checked";"eng"
"beanie_1_N";"checked";"eng"
"beano_1_N";"checked";"eng"
"beanstalk_N";"checked";"eng"
"bear_1_N";"checked";"eng"
"bear_2_N";"checked";"eng"
"bear_8_V";"checked";"eng"
"bear_10_V";"checked";"eng"
"bear_1_V2";"checked";"eng"
"bear_2_V2";"checked";"eng"
"bear_3_V2";"checked";"eng"
"bear_4_V2";"checked";"eng"
"bear_5_V2";"checked";"eng"
"bear_6_V2";"checked";"eng"
"bear_7_V2";"checked";"eng"
"bear_8_V2";"checked";"eng"
"bear_9_V2";"checked";"eng"
"bear_11_V2";"checked";"eng"
"bear_12_V2A";"checked";"eng"
"bear_13_V2";"checked";"eng"
"bear_down_on_1_V2";"checked";"eng"
"bear_down_on_2_V2";"checked";"eng"
"bear_on_1_V2";"checked";"eng"
"bear_on_2_V2";"checked";"eng"
"bear_on_3_V2";"checked";"eng"
"bear_on_4_V2";"checked";"eng"
"bear_out_V2";"checked";"eng"
"bear_up_V";"checked";"eng"
"bear_with_V2";"checked";"eng"
"bearable_A";"checked";"eng"
"bearberry_1_N";"checked";"eng"
"bearberry_2_N";"checked";"eng"
"bearberry_3_N";"checked";"eng"
"beard_1_N";"checked";"eng"
"beard_2_N";"checked";"eng"
"beard_3_N";"checked";"eng"
"beard_4_N";"checked";"eng"
"beard_5_N";"checked";"eng"
"beard_V2";"checked";"eng"
"beardless_1_A";"checked";"eng"
"beardless_2_A";"checked";"eng"
"bearer_1_N";"checked";"eng"
"bearer_2_N";"checked";"eng"
"bearer_3_N";"checked";"eng"
"bearer_4_N";"checked";"eng"
"bearing_1_N";"checked";"eng"
"bearing_2_N";"checked";"eng"
"bearing_3_N";"checked";"eng"
"bearing_4_N";"checked";"eng"
"bearing_5_N";"checked";"eng"
"bearing_6_N";"checked";"eng"
"bearish_A";"checked";"eng"
"bearnaise_N";"checked";"eng"
"bearsden_PN";"checked";"eng"
"bearskin_1_N";"checked";"eng"
"bearskin_2_N";"checked";"eng"
"beast_1_N";"checked";"eng"
"beast_2_N";"checked";"eng"
"beastliness_1_N";"checked";"eng"
"beastliness_2_N";"checked";"eng"
"beastly_1_A";"checked";"eng"
"beastly_2_A";"checked";"eng"
"beastly_Adv";"checked";"eng"
"beat_1_N";"checked";"eng"
"beat_2_N";"checked";"eng"
"beat_3_N";"checked";"eng"
"beat_4_N";"checked";"eng"
"beat_5_N";"checked";"eng"
"beat_6_N";"checked";"eng"
"beat_7_N";"checked";"eng"
"beat_8_N";"checked";"eng"
"beat_9_N";"checked";"eng"
"beat_10_N";"checked";"eng"
"beat_3_V";"checked";"eng"
"beat_4_V";"checked";"eng"
"beat_6_V";"checked";"eng"
"beat_9_V";"checked";"eng"
"beat_15_V";"checked";"eng"
"beat_17_V";"checked";"eng"
"beat_20_V";"checked";"eng"
"beat_23_V";"checked";"eng"
"beat_1_V2";"checked";"eng"
"beat_2_V2";"checked";"eng"
"beat_3_V2";"checked";"eng"
"beat_5_V2";"checked";"eng"
"beat_8_V2";"checked";"eng"
"beat_10_V2";"checked";"eng"
"beat_11_V2";"checked";"eng"
"beat_12_V2";"checked";"eng"
"beat_13_V2";"checked";"eng"
"beat_14_V2";"checked";"eng"
"beat_16_V2";"checked";"eng"
"beat_18_V2";"checked";"eng"
"beat_19_V2";"checked";"eng"
"beat_20_V2";"checked";"eng"
"beat_21_V2";"checked";"eng"
"beat_22_V2";"checked";"eng"
"beat_back_V2";"checked";"eng"
"beat_down_2_V";"checked";"eng"
"beat_down_1_V2";"checked";"eng"
"beat_down_3_V2";"checked";"eng"
"beat_down_on_V2";"checked";"eng"
"beat_out_2_V2";"checked";"eng"
"beat_up_2_V2";"checked";"eng"
"beatable_A";"checked";"eng"
"beaten_1_A";"checked";"eng"
"beaten_2_A";"checked";"eng"
"beater_1_N";"checked";"eng"
"beater_2_N";"checked";"eng"
"beatific_1_A";"checked";"eng"
"beatific_2_A";"checked";"eng"
"beatification_1_N";"checked";"eng"
"beatification_2_N";"checked";"eng"
"beatification_3_N";"checked";"eng"
"beatify_1_V2";"checked";"eng"
"beatify_2_V2";"checked";"eng"
"beatify_3_V2";"checked";"eng"
"beating_1_N";"checked";"eng"
"beating_2_N";"checked";"eng"
"beatitude_1_N";"checked";"eng"
"beatitude_2_N";"checked";"eng"
"beatnik_N";"checked";"eng"
"beatrice_PN";"checked";"eng"
"beau_1_N";"checked";"eng"
"beau_2_N";"checked";"eng"
"beaugregory_N";"checked";"eng"
"beaujolais_N";"checked";"eng"
"beaumaris_PN";"checked";"eng"
"beauteous_A";"checked";"eng"
"beautician_N";"checked";"eng"
"beautification_N";"checked";"eng"
"beautiful_1_A";"checked";"eng"
"beautiful_2_A";"checked";"eng"
"beautify_1_V2";"checked";"eng"
"beautify_2_V2";"checked";"eng"
"beautify_3_V2";"checked";"eng"
"beauty_1_N";"checked";"eng"
"beauty_2_N";"checked";"eng"
"beauty_3_N";"checked";"eng"
"beauty_parlour_N";"checked";"eng"
"beauty_salon_N";"checked";"eng"
"beauty_sleep_N";"checked";"eng"
"beauty_spot_N";"checked";"eng"
"beaver_1_N";"checked";"eng"
"beaver_2_N";"checked";"eng"
"beaver_3_N";"checked";"eng"
"beaver_4_N";"checked";"eng"
"beaver_5_N";"checked";"eng"
"beaver_6_N";"checked";"eng"
"beaver_7_N";"checked";"eng"
"beaver_V";"checked";"eng"
"beaver_away_V";"checked";"eng"
"beaver_away_at_V2";"checked";"eng"
"bebington_PN";"checked";"eng"
"becalmed_A";"checked";"eng"
"because_Subj";"checked";"eng"
"because_of_Prep";"checked";"eng"
"beccles_PN";"checked";"eng"
"beck_N";"checked";"eng"
"becket_1_PN";"checked";"eng"
"becket_2_N";"checked";"eng"
"beckon_1_V";"checked";"eng"
"beckon_2_V";"checked";"eng"
"beckon_3_V";"checked";"eng"
"beckon_1_V2";"checked";"eng"
"beckon_3_V2";"checked";"eng"
"become_3_V";"checked";"eng"
"become_2_V2";"checked";"eng"
"become_4_V2";"checked";"eng"
"become_VA";"checked";"eng"
"becomingly_AdV";"checked";"eng"
"becomingness_N";"checked";"eng"
"bed_1_N";"checked";"eng"
"bed_2_N";"checked";"eng"
"bed_3_N";"checked";"eng"
"bed_4_N";"checked";"eng"
"bed_5_N";"checked";"eng"
"bed_6_N";"checked";"eng"
"bed_7_N";"checked";"eng"
"bed_8_N";"checked";"eng"
"bed_1_V2";"checked";"eng"
"bed_2_V2";"checked";"eng"
"bed_3_V2";"checked";"eng"
"bed_4_V2";"checked";"eng"
"bed_5_V";"checked";"eng"
"bed_down_V";"checked";"eng"
"bed_out_V2";"checked";"eng"
"bedaubed_A";"checked";"eng"
"bedbug_1_N";"checked";"eng"
"bedclothes_N";"checked";"eng"
"beddau_PN";"checked";"eng"
"bedder_N";"checked";"eng"
"bedding_1_N";"checked";"eng"
"bedding_2_N";"checked";"eng"
"bedecked_A";"checked";"eng"
"bedevil_1_V2";"checked";"eng"
"bedevil_2_V2";"checked";"eng"
"bedevilment_N";"checked";"eng"
"bedewed_A";"checked";"eng"
"bedfast_A";"checked";"eng"
"bedfellow_1_N";"checked";"eng"
"bedfellow_2_N";"checked";"eng"
"bedford_PN";"checked";"eng"
"bedfordshire_PN";"checked";"eng"
"bedimmed_A";"checked";"eng"
"bedlam_1_N";"checked";"eng"
"bedlam_2_N";"checked";"eng"
"bedlamite_N";"checked";"eng"
"bedless_A";"checked";"eng"
"bedlington_PN";"checked";"eng"
"bedouin_1_N";"checked";"eng"
"bedpan_N";"checked";"eng"
"bedpost_N";"checked";"eng"
"bedraggled_1_A";"checked";"eng"
"bedraggled_2_A";"checked";"eng"
"bedrest_1_N";"checked";"eng"
"bedridden_A";"checked";"eng"
"bedrock_1_N";"checked";"eng"
"bedrock_2_N";"checked";"eng"
"bedroll_N";"checked";"eng"
